DP projectid....	PG num	LCCN
projectID41e483cce057d	460	06006744
projectID41df3bb7c7b76	474	72012693
projectID407e270f1b966	7863	19003497
projectID3fb3564cf10b9	7997	00000087
projectID406fd15c1d1fd	8946	48025319
projectID3f7f35185220e	9653	41040759
projectID3f806838018ff	9664	16008225
projectID3f889cda0b533	9746	15021442
projectID3f8612cdf0d1d	9749	15019412
projectID3f8614dbc7503	9775	17021974
projectID3f8613596cfcb	9778	11014752
projectID3f7f6c1b71ddf	9790	04027127
projectID3f889de6c26eb	9794	17026784
projectID3f8b69d7d867d	9806	09024258
projectID3f806bba9b61f	9807	22001723
projectID3f7f6cc81517f	9808	20022232
projectID3f862ba806718	9809	25007158
projectID3f862cb0aa04b	9809	25007158
projectID3f8c8f258f299	9812	16011588
projectID3f90e5ba4d3e7	9829	21022333
projectID3f91b66e1789c	9832	05012705
projectID3f7f6fb3e49c2	9834	20000627
projectID3f81ca6db3c8e	9835	21017370
projectID3f7f8f4e08e25	9836	18006645
projectID3f84c79f37458	9838	99001236
projectID3f84ca02a793a	9839	01025042
projectID3f84cb184d3ec	9839	01025042
projectID3f8070e423bdf	9844	13004352
projectID3f92eaec28ce6	9849	11027305
projectID3f7e60dbd5f6b	9851	82025246
projectID3f92e217ee610	9852	19003700
projectID3f8f40e865a8f	9853	83223795
projectID3f8b366c3745c	9856	17024857
projectID3f88de1b45eb5	9858	21004908
projectID3f885428cc466	9864	22005161
projectID3f8854a260c64	9864	22005161
projectID3f807c32e22b7	9865	46007190
projectID3f807cd117885	9865	46007190
projectID3f8a1acd5e573	9867	86006183
projectID3f8a1b4f5e559	9867	86006183
projectID3f92bfbc437ab	9871	08013951
projectID3f95308e80836	9872	07040278
projectID3f8def38410b8	9873	17005450
projectID3f95480ae49cb	9874	16018047
projectID3f84c7a78f296	9879	13035198
projectID3f94820fdd498	9888	10022862
projectID3f99c38c4ae57	9899	17018595
projectID3f87532e82f4c	9900	c  98000068
projectID3f92edaa2d816	9901	15017760
projectID3f9319c74b1bc	9902	22019483
projectID3f923056d114a	9903	78002354
projectID3f9230af39b66	9903	78002354
projectID3f8720b337456	9906	85891300
projectID3f932d01e22c0	9908	18002606
projectID3f84cf0371de4	9923	19015544
projectID3f84cf371ccf2	9923	19015544
projectID3f80eea3ee610	9925	77123498
projectID3f80eecc1035b	9925	77123498
projectID3f88323198ede	9928	21013706
projectID3f9d9a1b28ec3	9929	05007599
projectID3f95d7b3ebf01	9948	42047088
projectID3f9f8c517e4c4	9949	13002622
projectID3fa05bbc859f2	9952	18022445
projectID3f9ef882d8a17	9955	21004141
projectID3fa050589b985	9963	11015097
projectID3f9e0789cedd6	9964	a  12000363
projectID3fa1ca2ddd839	9965	04031653
projectID3fa2e5c996b74	9966	18021686
projectID3f9784e09b62d	9967	21014701
projectID3f97852968196	9967	21014701
projectID3f92c0667ba16	9974	22008943
projectID3f92c0ce3cb5a	9974	22008943
projectID3f89bd4319f98	9978	87153538
projectID3f9dcef2b4b33	9989	13026176
projectID3f9e82ae106ef	9991	23006303
projectID3fa2e64dc9fb2	9994	12000285
projectID3f9f47c654dae	9995	21000071
projectID3fa1f55928d9c	10002	75028857
projectID3fa196fec2a8b	10004	03016392
projectID3f9f23dc51280	10012	rc 01000874
projectID3f7e5fdad385e	10021	82025246
projectID3f9231f845eb6	10025	18007293
projectID3f923267bffdd	10025	18007293
projectID3facfda2832ed	10029	18005506
projectID3f99d7e487d7b	10041	15020589
projectID3f99d870ac758	10041	15020589
projectID3faab67a7bdc1	10043	01015732
projectID3fa57f420b8d0	10046	17026974
projectID3f9917d2aa043	10049	72113682
projectID3f99163037fa4	10050	72113682
projectID3f99169ea2b4f	10050	72113682
projectID3f991712bffe2	10051	72113682
projectID3f991753bd8da	10051	72113682
projectID3f991788e70de	10051	72113682
projectID3f9918187ba20	10052	72113682
projectID3f991842e49cb	10052	72113682
projectID3fa2cda9f1219	10053	f  01000291
projectID3fb3dafe796aa	10057	19012254
projectID3f88460319fd7	10062	07012838
projectID3fa176ed043b3	10063	04012112
projectID3f9193b612abc	10064	15024858
projectID3fad560d4d954	10065	23002414
projectID3f9bf7b7dbddb	10066	76008886
projectID3f9bf87ede4ea	10066	76008886
projectID3fad460894451	10067	12006864
projectID3f81d21b7e123	10068	10016715
projectID3f8f4d4d1c6a6	10070	unk84177106
projectID3f871f3a8a487	10076	21001354
projectID3faef7a759adc	10078	17024530
projectID3f9b4b958f2dc	10080	18012004
projectID3faed86a0b8d2	10081	86188352
projectID3fad98b41f15b	10082	16021060
projectID3fafde9a8f63d	10083	10007026
projectID3f97e938262fd	10088	11006869
projectID3f8f321f8cb9a	10094	01031062
projectID3f9dbf12721f6	10095	03017945
projectID3fa0d8bd46269	10096	15013009
projectID3fac33aa28d92	10097	15014700
projectID3fae39a812e0f	10099	17029472
projectID3f947f65e5185	10101	18018543
projectID3f8b6b12cea46	10102	05036289
projectID3f9d7f4217c2e	10103	05007599
projectID3fa4a5f54d791	10109	22010170
projectID3faeda1a54cb3	10110	16002214
projectID3fa5b6360dfed	10111	07028978
projectID3f95c71915228	10112	84122210
projectID3f9af6500671d	10114	05007599
projectID3fabe86f91d4c	10122	18013300
projectID3f9d9c94091df	10128	05007599
projectID3fad220a8a823	10135	10005056
projectID3fa0515f9e09b	10139	03020205
projectID3f91b8d40b541	10142	21021761
projectID3f91b98a17894	10142	21021761
projectID3faef844ee9a4	10145	18001401
projectID3fb6a90dbb560	10146	20000866
projectID3fad1354f37d0	10147	19001191
projectID3fa1de0f63712	10150	75302887
projectID3f9d79d9043ae	10151	05007599
projectID3fafb3f44fe91	10159	19002390
projectID3fb188802668e	10163	16011051
projectID3f9dbd062dbef	10165	06044866
projectID3faadf65c519d	10166	16002402
projectID3f9f6eaab4023	10201	82019117
projectID3f9f6f68350e8	10201	82019117
projectID3f9f6ff2043a4	10201	82019117
projectID3fb6a07754cb1	10210	18018404
projectID3fb670725e90c	10217	03026358
projectID3faef87cdde66	10225	17030365
projectID3fb322a62dbf9	10226	04016152
projectID3fab2fdd68883	10234	07001237
projectID3fb984b4cc6c3	10268	04023767
projectID3faadf927e4cf	10291	19003024
projectID3f866d40bfff6	10293	05041593
projectID3fb8e12ce9b8b	10294	ca 17002801
projectID3f8f2aed6cfc8	10321	09009507
projectID3fb934606fa6f	10322	06030406
projectID3fbbb7af17c3c	10323	10010700
projectID3f9e068fc78b1	10327	21019395
projectID3f9e0711d8a65	10327	21019395
projectID3fac34d099271	10333	16010488
projectID3fc3bb22772a9	10335	04003707
projectID3fa1d7a88810c	10337	95118753
projectID3f9be8c2420f7	10340	04016157
projectID3f9dcda006ae5	10341	05007599
projectID3fa57a89db13a	10355	04019928
projectID3fa57abbbb551	10356	04019928
projectID3f9785e1178aa	10358	05023032
projectID3f9785eeac766	10358	05023032
projectID3f91bbffa5224	10368	99004700
projectID3fb66fb5b4028	10370	07033325
projectID3fc3cfdfdb133	10371	17015545
projectID3facffbabb55b	10373	19015735
projectID3fc7dcc915518	10374	20007723
projectID3fb3c9fa3c61b	10376	21021358
projectID3fb66fee10701	10387	07033332
projectID3f9a22cbb1583	10391	85891014
projectID3f9a243f19fa0	10391	85891014
projectID3fc4bdfcc9fb1	10392	05005949
projectID3fcbe6fe68533	10394	07018095
projectID3fcf880e91d52	10396	07025662
projectID3fad4b44d8b9f	10397	06034368
projectID3fad4b7623f71	10397	06034368
projectID3fc5a2a75e922	10398	13005598
projectID3fc80b8d01c93	10401	14019577
projectID3fd27aeb329d1	10402	12006862
projectID3fa35eb90b8db	10410	08002614
projectID3fa35f6fcc6d3	10410	08002614
projectID3f9ef9ca37a73	10417	unk82059544
projectID3fccde0bd8a22	10418	11029082
projectID3fd145f98f631	10429	21019675
projectID3fb9f1a2ec29a	10431	11021103
projectID3fbef51d01c9e	10436	22000476
projectID3fd2274fe4d6b	10437	17022912
projectID3fcf645ddb131	10438	17010164
projectID3f9d9d1376fa1	10439	07028615
projectID3fd26cc8c9fbc	10440	20006289
projectID3fa9e8f2cedfd	10441	10009851
projectID3fa9e9a9bb562	10441	10009851
projectID3fc7cc686ac6e	10443	22007438
projectID3f9f40797bdb1	10445	04013624
projectID3fd3b31501c9d	10447	11000958
projectID3fc433e6e2665	10448	74212908
projectID3fd3b457b8e46	10457	13026674
projectID3f9f0af66371a	10464	11006642
projectID3fbdadaad14ed	10469	a  12000792
projectID3fa940723c61a	10471	41005642
projectID3fc8c672db125	10474	17031650
projectID3fd256d8a07a6	10477	03006173
projectID3fd4a053b8e46	10478	03006173
projectID3fa5634e1f151	10481	71278620
projectID3fd4a7e9a7cdf	10484	03006178
projectID3fa427d2bb57f	10485	13015248
projectID3fa5211bb4028	10491	09030867
projectID3f961647d5f8e	10496	21009710
projectID3f961689ebefa	10496	21009710
projectID3f95882bb8aac	10506	28015920
projectID3fd5530f28d99	10508	08028060
projectID3fa5cbd5e4d6f	10509	16004391
projectID3fa5cc61b402c	10509	16004391
projectID3fa5cceedff51	10509	16004391
projectID3fca4ea0c78ac	10515	18016731
projectID3f8d3fb4cc32d	10519	07009472
projectID3fd6159280bd1	10522	03006178
projectID3fd6170b1f151	10531	03006178
projectID3fd66f79c5199	10532	03006178
projectID3fd671069b9d4	10533	03006178
